id;name;type;lat;lng
373902;PILAWA;PI;52.038680;21.087890
374001;BRZÓZEK;OR;52.027230;21.088990
374002;BRZÓZEK;OR;52.026870;21.089130
374101;KASZTANOWA;OR;52.020290;21.090150
374102;KASZTANOWA;OR;52.019890;21.090510
374201;DOBIESZ;DO;52.001960;21.110550
374202;DOBIESZ;DO;52.002070;21.110540
374301;OGRODOWA;S3;51.990723;21.109253
374302;OGRODOWA;S3;51.990834;21.109265
374401;AKACJOWA;S3;51.982026;21.114833
374402;AKACJOWA;S3;51.982063;21.114869
374501;CENDROWICE;CN;51.967433;21.132882
374502;CENDROWICE;CN;51.967274;21.132990
374601;SOBIKÓW;SO;51.961670;21.133730
374701;GŁÓWNA;ŻB;52.054795;21.041378
374801;KSIĘCIA JANUSZA;PS;52.066332;21.030759
374802;KSIĘCIA JANUSZA;PS;52.065971;21.031440
374901;PODŁĘCZE II;P3;52.025275;21.218537
374902;PODŁĘCZE II;P3;52.025713;21.218439
375003;GŁÓWNA;JG;52.039512;20.996643
375004;GŁÓWNA;JG;52.039616;20.996841
375151;JAZGARZEW-SZKOŁA;JG;52.037007;20.996168
375201;ŁBISKA;ŁB;52.023935;21.002873
375202;ŁBISKA;ŁB;52.024029;21.002868
375301;PĘCHERY;PĘ;52.008576;21.001201
375302;PĘCHERY;PĘ;52.008571;21.001267
375401;BOCIANA CZARNEGO;JA;52.066620;21.089800
375501;ZIMORODKA;JA;52.063670;21.080970
375602;ZACHODNIA;PS;52.051255;21.005618
375701;NOWINEK;ZE;52.015965;21.040531
375702;NOWINEK;ZE;52.016672;21.040661
375901;JULIANÓW;J1;51.953631;21.096333
375902;JULIANÓW;J1;51.953626;21.096476
376001;OBRĘB II;O1;51.955012;21.107891
376002;OBRĘB II;O1;51.955016;21.108258
376102;OBRĘB I;O1;51.956253;21.119003
376201;KOLONIA SOBIKÓW;SO;51.970934;21.155116
376202;KOLONIA SOBIKÓW;SO;51.970889;21.155004
376301;KRZAKI CZAPLINKOWSKIE;K1;51.974582;21.173934
376302;KRZAKI CZAPLINKOWSKIE;K1;51.974589;21.174099
376401;MARIANKI;GW;51.980979;21.190650
376402;MARIANKI;GW;51.981038;21.191010
376501;CMENTARZ;GW;51.984580;21.195801
376502;CMENTARZ;GW;51.984699;21.195659
376601;BANIOCHA;BC;52.019672;21.124191
376701;ŁUBNA;ŁU;52.033948;21.122060
376702;ŁUBNA;ŁU;52.033920;21.122188
376801;SZYMANÓW;SÓ;52.043150;21.114249
376802;SZYMANÓW;SÓ;52.043034;21.114247
376902;PROJEKTOWANA;BC;52.022194;21.127032
377001;SZKOLNA;BC;52.023271;21.123851
377101;ŁBISKA-SZKOŁA;ŁB;52.020060;21.005343
377102;ŁBISKA-SZKOŁA;ŁB;52.020448;21.005196
377201;STADION;GW;51.970152;21.213832
377202;STADION;GW;51.969064;21.213909
377301;CZERSK-ZAMEK;CK;51.959061;21.231632
377302;CZERSK-ZAMEK;CK;51.959165;21.231449
377401;WARECKA;CK;51.955654;21.224446
377402;WARECKA;CK;51.956014;21.225190
377501;PRZYBOROWIE;CK;51.954419;21.213085
377502;PRZYBOROWIE;CK;51.954428;21.213178
377601;SZPRUCH;CO;51.943702;21.212873
377602;SZPRUCH;CO;51.943643;21.212960
377701;LININ-OSIEDLE;L1;51.938819;21.198440
377702;LININ-OSIEDLE;L1;51.939081;21.199404
377801;LININ;L1;51.938130;21.176638
377802;LININ;L1;51.938093;21.176996
377901;WINCENTÓW I;W9;51.940794;21.166091
377902;WINCENTÓW I;W9;51.940848;21.165751
378001;WINCENTÓW II;W9;51.943034;21.154755
378002;WINCENTÓW II;W9;51.942917;21.155158
378101;WSPÓLNA;C2;51.947244;21.154876
378102;WSPÓLNA;C2;51.946701;21.154727
378201;CZAPLINEK II;CP;51.956345;21.135188
378202;CZAPLINEK II;CP;51.955730;21.134983
378301;CZACHÓWEK-SZKOŁA;C1;51.959902;21.088305
378302;CZACHÓWEK-SZKOŁA;C1;51.959974;21.088115
378401;CZARNY LAS;CR;51.974565;21.105359
378501;CZAPLINEK I;CP;51.948903;21.137730
378502;CZAPLINEK I;CP;51.948963;21.137190
378504;CZAPLINEK I;CP;51.949047;21.139564
378601;DOBIESZ II;DO;52.005560;21.107220
378602;DOBIESZ II;DO;52.004890;21.107879
378701;OKRZEWSKA I;BI;52.121756;21.149452
378702;OKRZEWSKA I;BI;52.121901;21.149668
378801;OBÓRKI;OÓ;52.120934;21.165807
378901;OBÓRKI-WAŁ;OÓ;52.121216;21.172728
379001;KĘPA OBORSKA I;K3;52.128489;21.167582
379101;KĘPA OBORSKA II;K3;52.125009;21.154936
379202;OKRZEWSKA II;OK;52.123823;21.146195
379301;ALEJA BZÓW;JS;52.099123;21.032845
379302;ALEJA BZÓW;JS;52.098817;21.032335
379401;DZIKIEJ RÓŻY;JS;52.100822;21.035479
379402;DZIKIEJ RÓŻY;JS;52.101026;21.035689
379501;JULIANOWSKA-CMENTARZ;PS;52.080794;21.039915
379601;GÓRNA;JG;52.036606;20.989906
379602;GÓRNA;JG;52.036928;20.990439
379701;WÓLKA PĘCHERSKA;JG;52.030893;20.981137
379702;WÓLKA PĘCHERSKA;JG;52.030962;20.981385
379801;ANEMONÓW;BG;52.020274;20.971355
379802;ANEMONÓW;BG;52.020649;20.971859
379901;MODRASZKI;BG;52.015178;20.966717
379902;MODRASZKI;BG;52.015612;20.967248
380101;ŁOZISKA;PS;52.069740;20.984580
380102;ŁOZISKA;PS;52.069680;20.985150
380201;ORĘŻNA;PS;52.069570;20.991410
380202;ORĘŻNA;PS;52.069520;20.991470
380401;KOŚCIÓŁ;GS;52.027910;20.958190
380501;POD GŁOSKÓW;GS;52.022210;20.955670
380502;POD GŁOSKÓW;GS;52.022060;20.955654
380601;RUNÓW OSADA;RW;52.015220;20.949330
380602;RUNÓW OSADA;RW;52.015507;20.949793
380701;RUNÓW OSADA II;RW;52.010420;20.944860
380702;RUNÓW OSADA II;RW;52.009950;20.944670
380801;HENRYKÓW-UROCZE;HU;51.999730;20.936700
380802;HENRYKÓW-UROCZE;HU;52.000763;20.937252
